"Frequency","Real(S11)","Imag(S11)","Real(S12)","Imag(S12)","Real(S21)","Imag(S21)","Real(S22)","Imag(S22)","Current gain","Unilateral power gain","Max transducer power gain","Stern stability factor","Gms","Gma","Source Voltage","Source Current","Drain Voltage","Drain Current","Gate Voltage","Gate Current","Substrate Voltage","Substrate Current","G Source>Source","C Source>Source","G Drain>Source","C Drain>Source","G Gate>Source","C Gate>Source","G Substrate>Source","C Substrate>Source","G Source>Drain","C Source>Drain","G Drain>Drain","C Drain>Drain","G Gate>Drain","C Gate>Drain","G Substrate>Drain","C Substrate>Drain","G Source>Gate","C Source>Gate","G Drain>Gate","C Drain>Gate","G Gate>Gate","C Gate>Gate","G Substrate>Gate","C Substrate>Gate","G Source>Substrate","C Source>Substrate","G Drain>Substrate","C Drain>Substrate","G Gate>Substrate","C Gate>Substrate","G Substrate>Substrate","C Substrate>Substrate"
1.0000000000e+01,9.9999999898e-01,-1.4684826595e-09,9.7977210846e-11,1.9282780872e-10,-1.1877510974e+00,2.4664306713e-05,9.0408926684e-01,9.4714858138e-06,1.7755740802e+02,9.2384813132e+01,9.5795199411e+01,1.1325613984e+00,9.7396855948e+01,9.5184664029e+01,0.0000000000e+00,-4.5398443470e-02,1.5000000000e+01,4.5389483430e-02,0.0000000000e+00,-7.2083232250e-11,0.0000000000e+00,0.0000000000e+00,-1.3519525470e-02,6.7887875450e-09,1.3519525460e-02,-6.7889723720e-09,8.5227846580e-12,1.8218195400e-13,1.2541420970e-17,2.6450707980e-15,1.0074184510e-03,-1.6631746210e-09,-1.0074184520e-03,1.6631402610e-09,1.0291342080e-12,3.2235275850e-14,-3.0716971570e-18,2.1247036800e-15,1.2475792170e-02,-5.1105130170e-09,-1.2475792170e-02,5.1107272320e-09,-9.5593899950e-12,-2.1457273420e-13,-9.4418252980e-18,3.5776413120e-16,3.6314840580e-05,-1.5099906630e-11,-3.6314840590e-05,1.5104878670e-11,7.4711294260e-15,1.5550435730e-16,-2.7898511030e-20,-5.1275386100e-15
1.0000000000e+02,9.9999999898e-01,-1.4684785157e-08,9.7008925296e-11,1.9282940095e-09,-1.1877470881e+00,2.4657075196e-04,9.0409080744e-01,9.4687068975e-05,1.5930436035e+02,9.2401482184e+01,9.5784478113e+01,1.2690174118e-01,8.7890018456e+01,8.7890018456e+01,0.0000000000e+00,-4.5398443470e-02,1.5000000000e+01,4.5389483430e-02,0.0000000000e+00,-7.2083232250e-11,0.0000000000e+00,0.0000000000e+00,-1.3519455900e-02,6.7867854630e-09,1.3519455890e-02,-6.7869702890e-09,8.5602490450e-12,1.8218097120e-13,1.2537716710e-15,2.6450382000e-15,1.0074014020e-03,-1.6626839700e-09,-1.0074014030e-03,1.6626496100e-09,1.0199597870e-12,3.2235516700e-14,-3.0707893530e-16,2.1247116690e-15,1.2475739810e-02,-5.1090060500e-09,-1.2475739800e-02,5.1092202640e-09,-9.5875966880e-12,-2.1457199440e-13,-9.4390371000e-16,3.5778866800e-16,3.6314685520e-05,-1.5095443100e-11,-3.6314685520e-05,1.5100415130e-11,7.3878562730e-15,1.5550654790e-16,-2.7890252580e-18,-5.1275385370e-15
1.0000000000e+03,9.9999999874e-01,-1.4680773402e-07,2.9597668246e-12,1.9298355187e-08,-1.1873589220e+00,2.3957265982e-03,9.0423996035e-01,9.1997854047e-04,1.3932530129e+02,9.4433928721e+01,9.4852681424e+01,1.2946871931e-02,7.7890626035e+01,7.7890626035e+01,0.0000000000e+00,-4.5398443470e-02,1.5000000000e+01,4.5389483430e-02,0.0000000000e+00,-7.2083232250e-11,0.0000000000e+00,0.0000000000e+00,-1.3512721650e-02,6.5930700920e-09,1.3512721640e-02,-6.5932548200e-09,1.2198646840e-11,1.8208583670e-13,1.2179303900e-13,2.6418827570e-15,1.0057511110e-03,-1.6152101060e-09,-1.0057511110e-03,1.6151757220e-09,1.2899536520e-13,3.2258830220e-14,-2.9829530510e-14,2.1254849390e-15,1.2470670860e-02,-4.9631964200e-09,-1.2470670850e-02,4.9634105600e-09,-1.2326943620e-11,-2.1450038550e-13,-9.1692596530e-14,3.6016380800e-16,3.6299675200e-05,-1.4663565730e-11,-3.6299675200e-05,1.4668537540e-11,-6.9858795500e-16,1.5571859680e-16,-2.7091191360e-16,-5.1275315040e-15
1.0000000000e+04,9.9999999099e-01,-1.4583818872e-06,-2.9614661349e-09,1.9670803718e-07,-1.1779740130e+00,7.7343386096e-03,9.0784523539e-01,2.9658606749e-03,1.1931032418e+02,1.0000000000e+00,8.6415421096e+01,2.0929997516e-03,6.7772737534e+01,6.7772737534e+01,0.0000000000e+00,-4.5398443470e-02,1.5000000000e+01,4.5389483430e-02,0.0000000000e+00,-7.2083232250e-11,0.0000000000e+00,0.0000000000e+00,-1.3350530990e-02,2.1190749940e-09,1.3350530860e-02,-2.1192573560e-09,1.2660868170e-10,1.7979564670e-13,3.9022546770e-12,2.5659377270e-15,9.6601058620e-04,-5.1878782220e-10,-9.6601055740e-04,5.1875285810e-10,-2.7840798060e-11,3.2819971780e-14,-9.5453260340e-13,2.1440931100e-15,1.2348581980e-02,-1.5955971840e-09,-1.2348581880e-02,1.5958095430e-09,-9.8514578070e-11,-2.1277643790e-13,-2.9390823820e-12,4.1733151520e-16,3.5938426990e-05,-4.6899883790e-12,-3.5938426730e-05,4.6949549220e-12,-2.5330559600e-13,1.6081939510e-16,-8.6396917010e-15,-5.1273623520e-15
1.0000000000e+05,9.9999993037e-01,-1.4454540661e-05,-2.5532629134e-08,2.0164263261e-06,-1.1654118390e+00,6.4449442215e-03,9.1264902427e-01,2.4580203272e-03,9.9289022788e+01,1.0000000000e+00,7.7669044078e+01,8.7979160601e-04,5.7618688943e+01,5.7618688943e+01,0.0000000000e+00,-4.5398443470e-02,1.5000000000e+01,4.5389483430e-02,0.0000000000e+00,-7.2083232250e-11,0.0000000000e+00,0.0000000000e+00,-1.3135093060e-02,1.7505474250e-10,1.3135092010e-02,-1.7523397780e-10,1.0093958330e-09,1.7676914030e-13,3.2207904720e-11,2.4661342080e-15,9.1336884890e-04,-4.2831598940e-11,-9.1336860110e-04,4.2795871900e-11,-2.4002875430e-10,3.3558576990e-14,-7.8014144370e-12,2.1684614880e-15,1.2186258850e-02,-1.3184612500e-10,-1.2186258050e-02,1.3205612760e-10,-7.6727271370e-10,-2.1049516330e-13,-2.4336804150e-11,4.9254785400e-16,3.5465360500e-05,-3.7701862800e-13,-3.5465358330e-05,3.8197832550e-13,-2.0943644560e-12,1.6744603550e-16,-6.9686139530e-14,-5.1271435500e-15
1.0000000000e+06,9.9999966524e-01,-1.4391599797e-04,-1.0266775335e-07,2.0387308719e-05,-1.1602108524e+00,2.6952162224e-03,9.1464701036e-01,1.0076661621e-03,7.9286955647e+01,1.0000000000e+00,7.1036573259e+01,6.4784223923e-04,4.7551726892e+01,4.7551726892e+01,0.0000000000e+00,-4.5398443470e-02,1.5000000000e+01,4.5389483430e-02,0.0000000000e+00,-7.2083232250e-11,0.0000000000e+00,0.0000000000e+00,-1.3046162440e-02,6.9780043590e-12,1.3046157810e-02,-7.1557505040e-12,4.5119688510e-09,1.7532316430e-13,1.1539377590e-10,2.4229813820e-15,8.9157481580e-04,-1.8065356300e-12,-8.9157381520e-04,1.7704630390e-12,-9.7437424440e-10,3.3893958030e-14,-2.6238355320e-11,2.1786325230e-15,1.2119308420e-02,-5.1601916010e-12,-1.2119304800e-02,5.3690533780e-12,-3.5311657750e-09,-2.0938722220e-13,-8.8863282660e-11,5.2544579010e-16,3.5279204450e-05,-1.1277127300e-14,-3.5279197730e-05,1.6234087080e-14,-6.4288309000e-12,1.7009991500e-16,-2.9213789270e-13,-5.1270596950e-15
1.0000000000e+07,9.9999682747e-01,-1.4359885465e-03,-5.0102069693e-08,2.0480350436e-04,-1.1577759354e+00,3.2132421328e-03,9.1588666875e-01,4.9210868220e-04,5.9285539549e+01,7.7633769538e+01,6.2882723077e+01,3.0687201477e-03,3.7522887945e+01,3.7522887945e+01,0.0000000000e+00,-4.5398443470e-02,1.5000000000e+01,4.5389483430e-02,0.0000000000e+00,-7.2083232250e-11,0.0000000000e+00,0.0000000000e+00,-1.2999371620e-02,3.8920552530e-13,1.2999350300e-02,-5.6626789420e-13,2.1057010620e-08,1.7465078770e-13,2.6812944570e-10,2.4115812420e-15,8.7805862130e-04,-1.4211947710e-13,-8.7805719490e-04,1.0591197800e-13,-1.3766091700e-09,3.4026566210e-14,-4.9713756080e-11,2.1809329050e-15,1.2086105070e-02,-2.4874372000e-13,-1.2086085200e-02,4.5705681300e-13,-1.9665597730e-08,-2.0884762640e-13,-2.0847277960e-10,5.3453342870e-16,3.5207926870e-05,1.6576718430e-15,-3.5207902130e-05,3.2991031510e-15,-1.4803723500e-11,1.7027258020e-16,-9.9429099240e-12,-5.1270475750e-15
1.0000000000e+08,9.9984621475e-01,-1.4343988188e-02,2.5332362363e-05,2.0437394799e-03,-1.1556123696e+00,1.9258444703e-02,9.1716561814e-01,-3.0659164759e-03,3.9270917317e+01,4.4195235201e+01,4.9171660140e+01,1.5030173660e-02,2.7524135870e+01,2.7524135870e+01,0.0000000000e+00,-4.5398443470e-02,1.5000000000e+01,4.5389483430e-02,0.0000000000e+00,-7.2083232250e-11,0.0000000000e+00,0.0000000000e+00,-1.2956458070e-02,-4.3322329240e-14,1.2956201080e-02,-1.3368736820e-13,2.5282801160e-07,1.7459843570e-13,4.1688162640e-09,2.4112616920e-15,8.6374337080e-04,-3.4682912980e-15,-8.6383233600e-04,-3.2648244140e-14,9.0383870240e-08,3.3936077800e-14,-1.4186407370e-09,2.1804576460e-15,1.2057453340e-02,4.4901657790e-14,-1.2057111730e-02,1.6326752150e-13,-3.3984920270e-07,-2.0870449900e-13,-1.7689142490e-09,5.3531968770e-16,3.5261359090e-05,1.8889627410e-15,-3.5257015150e-05,3.0680908520e-15,-3.3626790870e-09,1.6998543220e-16,-9.8126127740e-10,-5.1270390260e-15
1.0000000000e+09,9.8479073791e-01,-1.4194827784e-01,1.9867078965e-03,2.0156128448e-02,-1.1344836288e+00,1.7779369019e-01,9.1507439207e-01,-3.6865302729e-02,1.9249357541e+01,2.7254861862e+01,2.9109116716e+01,1.1042143779e-01,1.7535604514e+01,1.7535604514e+01,0.0000000000e+00,-4.5397822670e-02,1.5000000000e+01,4.5391347480e-02,0.0000000000e+00,-7.2075621790e-11,0.0000000000e+00,0.0000000000e+00,-1.2940961450e-02,-8.2476060370e-14,1.2904347890e-02,-9.4782306530e-14,3.6175164620e-05,1.7484972280e-13,4.3839129250e-07,2.4086441020e-15,8.5745017280e-04,7.9603114850e-15,-8.6017794270e-04,-4.3934405120e-14,2.8919664450e-06,3.3792466570e-14,-1.6419665120e-07,2.1816270660e-15,1.2048025340e-02,7.2686164150e-14,-1.2009096970e-02,1.3559389530e-13,-3.8751814010e-05,-2.0881582070e-13,-1.7655530870e-07,5.3576128200e-16,3.5485934290e-05,1.8295847390e-15,-3.5072977900e-05,3.1228163760e-15,-3.1531705490e-07,1.7363133380e-16,-9.7639332670e-08,-5.1260324500e-15
2.0000000000e+09,9.4101824353e-01,-2.7448643901e-01,7.6368295974e-03,3.9116444861e-02,-1.0780048176e+00,3.4238390647e-01,9.0755025079e-01,-7.2395132901e-02,1.3244176258e+01,2.1312694072e+01,2.2810589453e+01,2.1864080473e-01,1.4530074645e+01,1.4530074645e+01,0.0000000000e+00,-4.5397374070e-02,1.5000000000e+01,4.5392694580e-02,0.0000000000e+00,-7.2070122210e-11,0.0000000000e+00,0.0000000000e+00,-1.2973980340e-02,-8.3457591450e-14,1.2825140560e-02,-9.3233008920e-14,1.4709469990e-04,1.7429423900e-13,1.7450832070e-06,2.3963613570e-15,8.5566257110e-04,8.1499499280e-15,-8.6594821370e-04,-4.4095699500e-14,1.0937227300e-05,3.3759044410e-14,-6.5158470630e-07,2.1867051650e-15,1.2082293920e-02,7.3484296420e-14,-1.1924797910e-02,1.3421130550e-13,-1.5678836710e-04,-2.0823556870e-13,-7.0764799980e-07,5.3996678800e-16,3.6023842770e-05,1.8233451010e-15,-3.4394432150e-05,3.1174028880e-15,-1.2435601160e-06,1.8228532130e-16,-3.8585050140e-07,-5.1230333100e-15
