"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current","Global device temperature"
0.0000000000e+00,0.0000000000e+00,2.6736780660e-15,0.0000000000e+00,0.0000000000e+00,-5.6814777240e-16,-3.0000000000e+00,-3.0000000000e+00,-1.8365176860e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e+02
0.0000000000e+00,0.0000000000e+00,-1.1606850470e-02,5.0000000000e-01,5.0000000000e-01,1.1606854620e-02,-3.0000000000e+00,-3.0000000000e+00,-2.1590647960e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0107212230e+02
0.0000000000e+00,0.0000000000e+00,-1.9108785790e-02,1.0000000000e+00,1.0000000000e+00,1.9108770010e-02,-3.0000000000e+00,-3.0000000000e+00,-3.1527343290e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0356288850e+02
0.0000000000e+00,0.0000000000e+00,-2.3181527780e-02,1.5000000000e+00,1.5000000000e+00,2.3181431450e-02,-3.0000000000e+00,-3.0000000000e+00,-4.9328263650e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0658542420e+02
0.0000000000e+00,0.0000000000e+00,-2.5018520190e-02,2.0000000000e+00,2.0000000000e+00,2.5018384920e-02,-3.0000000000e+00,-3.0000000000e+00,-7.6143606120e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0962833890e+02
0.0000000000e+00,0.0000000000e+00,-2.5748519120e-02,2.5000000000e+00,2.5000000000e+00,2.5746917520e-02,-3.0000000000e+00,-3.0000000000e+00,-1.1391045180e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1254174710e+02
0.0000000000e+00,0.0000000000e+00,-2.6022603090e-02,3.0000000000e+00,3.0000000000e+00,2.6020194210e-02,-3.0000000000e+00,-3.0000000000e+00,-1.6640950480e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1534359630e+02
0.0000000000e+00,0.0000000000e+00,-2.6101288340e-02,3.5000000000e+00,3.5000000000e+00,2.6102006310e-02,-3.0000000000e+00,-3.0000000000e+00,-2.3893316610e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1806020270e+02
0.0000000000e+00,0.0000000000e+00,-2.6090015500e-02,4.0000000000e+00,4.0000000000e+00,2.6091348970e-02,-3.0000000000e+00,-3.0000000000e+00,-3.3841163230e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.2074228580e+02
0.0000000000e+00,0.0000000000e+00,-2.6031056100e-02,4.5000000000e+00,4.5000000000e+00,2.6033323290e-02,-3.0000000000e+00,-3.0000000000e+00,-4.7364228030e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.2341341290e+02
0.0000000000e+00,0.0000000000e+00,-2.5946358330e-02,5.0000000000e+00,5.0000000000e+00,2.5949944770e-02,-3.0000000000e+00,-3.0000000000e+00,-6.5602420200e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.2603580410e+02
0.0000000000e+00,0.0000000000e+00,-2.5848645140e-02,5.5000000000e+00,5.5000000000e+00,2.5847318700e-02,-3.0000000000e+00,-3.0000000000e+00,-8.9986854360e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.2861011030e+02
0.0000000000e+00,0.0000000000e+00,-2.5742707040e-02,6.0000000000e+00,6.0000000000e+00,2.5740661070e-02,-3.0000000000e+00,-3.0000000000e+00,-1.2239595020e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3114542850e+02
0.0000000000e+00,0.0000000000e+00,-2.5634971760e-02,6.5000000000e+00,6.5000000000e+00,2.5631949580e-02,-3.0000000000e+00,-3.0000000000e+00,-1.6528060910e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3364479000e+02
0.0000000000e+00,0.0000000000e+00,-2.5530011430e-02,7.0000000000e+00,7.0000000000e+00,2.5525713090e-02,-3.0000000000e+00,-3.0000000000e+00,-2.2195975570e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3612320680e+02
0.0000000000e+00,0.0000000000e+00,-2.5423882950e-02,7.5000000000e+00,7.5000000000e+00,2.5425819610e-02,-3.0000000000e+00,-3.0000000000e+00,-2.9635903540e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3857371830e+02
0.0000000000e+00,0.0000000000e+00,-2.5321942390e-02,8.0000000000e+00,8.0000000000e+00,2.5324694380e-02,-3.0000000000e+00,-3.0000000000e+00,-3.9366459750e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.4100165440e+02
