"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current","Global device temperature"
0.0000000000e+00,0.0000000000e+00,-4.8088839200e-05,5.0000000000e+00,5.0000000000e+00,4.8088624550e-05,-9.7500000000e+00,-9.7500000000e+00,-1.8172617390e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0004281670e+02
0.0000000000e+00,0.0000000000e+00,-5.6882310960e-05,5.0000000000e+00,5.0000000000e+00,5.6882009100e-05,-9.5000000000e+00,-9.5000000000e+00,-1.8196659100e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0005062430e+02
0.0000000000e+00,0.0000000000e+00,-6.6539948720e-05,5.0000000000e+00,5.0000000000e+00,6.6539467900e-05,-9.2500000000e+00,-9.2500000000e+00,-1.8222081810e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0005919560e+02
0.0000000000e+00,0.0000000000e+00,-7.7187083690e-05,5.0000000000e+00,5.0000000000e+00,7.7186422930e-05,-9.0000000000e+00,-9.0000000000e+00,-1.8250117160e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0006864150e+02
0.0000000000e+00,0.0000000000e+00,-8.8986685840e-05,5.0000000000e+00,5.0000000000e+00,8.8985825810e-05,-8.7500000000e+00,-8.7500000000e+00,-1.8280837900e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0007910640e+02
0.0000000000e+00,0.0000000000e+00,-1.0213077980e-04,5.0000000000e+00,5.0000000000e+00,1.0212964000e-04,-8.5000000000e+00,-8.5000000000e+00,-1.8314719870e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0009076020e+02
0.0000000000e+00,0.0000000000e+00,-1.1686076420e-04,5.0000000000e+00,5.0000000000e+00,1.1685927370e-04,-8.2500000000e+00,-8.2500000000e+00,-1.8352517790e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0010381640e+02
0.0000000000e+00,0.0000000000e+00,-1.3351719930e-04,5.0000000000e+00,5.0000000000e+00,1.3351538360e-04,-8.0000000000e+00,-8.0000000000e+00,-1.8394588470e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0011857580e+02
0.0000000000e+00,0.0000000000e+00,-1.5256301060e-04,5.0000000000e+00,5.0000000000e+00,1.5256056270e-04,-7.7500000000e+00,-7.7500000000e+00,-1.8442520510e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0013544660e+02
0.0000000000e+00,0.0000000000e+00,-1.7458646050e-04,5.0000000000e+00,5.0000000000e+00,1.7458285220e-04,-7.5000000000e+00,-7.5000000000e+00,-1.8497678650e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0015498230e+02
0.0000000000e+00,0.0000000000e+00,-2.0030856880e-04,5.0000000000e+00,5.0000000000e+00,2.0030383900e-04,-7.2500000000e+00,-7.2500000000e+00,-1.8561893800e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0017785090e+02
