"Frequency","Real(S11)","Imag(S11)","Real(S12)","Imag(S12)","Real(S21)","Imag(S21)","Real(S22)","Imag(S22)","Current gain","Unilateral power gain","Max transducer power gain","Stern stability factor","Gms","Gma","Source Voltage","Source Current","Drain Voltage","Drain Current","Gate Voltage","Gate Current","Substrate Voltage","Substrate Current","G Source>Source","C Source>Source","G Drain>Source","C Drain>Source","G Gate>Source","C Gate>Source","G Substrate>Source","C Substrate>Source","G Source>Drain","C Source>Drain","G Drain>Drain","C Drain>Drain","G Gate>Drain","C Gate>Drain","G Substrate>Drain","C Substrate>Drain","G Source>Gate","C Source>Gate","G Drain>Gate","C Drain>Gate","G Gate>Gate","C Gate>Gate","G Substrate>Gate","C Substrate>Gate","G Source>Substrate","C Source>Substrate","G Drain>Substrate","C Drain>Substrate","G Gate>Substrate","C Gate>Substrate","G Substrate>Substrate","C Substrate>Substrate"
1.0000000000e+01,9.9999654307e-01,-1.2185029561e-09,2.8703928557e-07,1.9276967196e-10,-6.3467241007e-01,1.0552002108e-05,9.5789049295e-01,3.5860557387e-06,1.0569900471e+02,5.4967451528e+01,5.8492107760e+01,2.5223576812e+00,6.3446081812e+01,5.6599405936e+01,0.0000000000e+00,-2.3771145070e-02,1.5000000000e+01,2.3771102500e-02,0.0000000000e+00,-2.6402484840e-07,0.0000000000e+00,0.0000000000e+00,-6.9315117460e-03,2.5052146610e-09,6.9314810650e-03,-2.5053701150e-09,3.0680828640e-08,1.5284133500e-13,1.0907577320e-17,2.6126090620e-15,4.3014792820e-04,-5.9559615410e-10,-4.3015086030e-04,5.9556277940e-10,2.9321330250e-09,3.1254710380e-14,-2.5925455040e-18,2.1200770840e-15,6.4832713870e-03,-1.9042733300e-09,-6.4832377480e-03,1.9044571930e-09,-3.3638892340e-08,-1.8425937380e-13,-8.2917413050e-18,3.9643572550e-16,1.8092430470e-05,-5.3451771250e-12,-1.8092456400e-05,5.3501429190e-12,2.5930670300e-11,1.6332841250e-16,-2.3290507400e-20,-5.1291218720e-15
1.0000000000e+02,9.9999654307e-01,-1.2185049288e-08,2.8704005580e-07,1.9276900124e-09,-6.3467154603e-01,1.0551266689e-04,9.5789078670e-01,3.5858057111e-05,1.0569894719e+02,5.4967450498e+01,5.8492128609e+01,2.5222891270e+00,6.3445967350e+01,5.6599420047e+01,0.0000000000e+00,-2.3771145070e-02,1.5000000000e+01,2.3771102500e-02,0.0000000000e+00,-2.6402484840e-07,0.0000000000e+00,0.0000000000e+00,-6.9314988260e-03,2.5050392720e-09,6.9314681450e-03,-2.5051947260e-09,3.0680795920e-08,1.5284178920e-13,1.0906813430e-15,2.6125948090e-15,4.3014485630e-04,-5.9555445190e-10,-4.3014778830e-04,5.9552107720e-10,2.9321408090e-09,3.1254602380e-14,-2.5923638740e-16,2.1200804730e-15,6.4832615660e-03,-1.9041400170e-09,-6.4832279270e-03,1.9043238810e-09,-3.3638867470e-08,-1.8425971910e-13,-8.2911606780e-16,3.9644655910e-16,1.8092402870e-05,-5.3448024000e-12,-1.8092428800e-05,5.3497681940e-12,2.5930740300e-11,1.6332744190e-16,-2.3288875320e-18,-5.1291218410e-15
1.0000000000e+03,9.9999654330e-01,-1.2187007596e-07,2.8711650710e-07,1.9270242023e-08,-6.3458576701e-01,1.0478260182e-03,9.5791994899e-01,3.5609849644e-04,1.0569320035e+02,5.4967348404e+01,5.8494199277e+01,2.5154714906e+00,6.3434567883e+01,5.6600827790e+01,0.0000000000e+00,-2.3771145070e-02,1.5000000000e+01,2.3771102500e-02,0.0000000000e+00,-2.6402484840e-07,0.0000000000e+00,0.0000000000e+00,-6.9302161840e-03,2.4876285440e-09,6.9301855070e-03,-2.4877840420e-09,3.0677547890e-08,1.5288687690e-13,1.0830983030e-13,2.6111798710e-15,4.2983988890e-04,-5.9141470680e-10,-4.2984282170e-04,5.9138134250e-10,2.9329134150e-09,3.1243881640e-14,-2.5743337020e-14,2.1204168930e-15,6.4822866330e-03,-1.8909062330e-09,-6.4822529960e-03,1.8910901300e-09,-3.3636398990e-08,-1.8429398960e-13,-8.2335224650e-14,3.9752205400e-16,1.8089662790e-05,-5.3076037230e-12,-1.8089688720e-05,5.3125696110e-12,2.5937688400e-11,1.6323109950e-16,-2.3126860890e-16,-5.1291188190e-15
1.0000000000e+04,9.9999655607e-01,-1.2299622370e-06,2.9146423731e-07,1.8887346228e-07,-6.2961063857e-01,6.2641674604e-03,9.5961132622e-01,2.1282643305e-03,1.0515896050e+02,5.4961899961e+01,5.8616988615e+01,2.0579668990e+00,6.2583756330e+01,5.6721664430e+01,0.0000000000e+00,-2.3771145070e-02,1.5000000000e+01,2.3771102500e-02,0.0000000000e+00,-2.6402484840e-07,0.0000000000e+00,0.0000000000e+00,-6.8559533040e-03,1.4843761050e-09,6.8559228050e-03,-1.4845341100e-09,3.0493069860e-08,1.5547564850e-13,6.4615031200e-12,2.5292628330e-15,4.1218305160e-04,-3.5287227060e-10,-4.1218602680e-04,3.5283950240e-10,2.9768086790e-09,3.0628325560e-14,-1.5354069010e-12,2.1398933530e-15,6.4258399120e-03,-1.1283491370e-09,-6.4258064110e-03,1.1285349390e-09,-3.3496215350e-08,-1.8626164850e-13,-4.9123459360e-12,4.5978689330e-16,1.7931032340e-05,-3.1641578550e-12,-1.7931058650e-05,3.1691291000e-12,2.6332674420e-11,1.5769912550e-16,-1.3791487400e-14,-5.1289438430e-15
1.0000000000e+05,9.9999655908e-01,-1.2434419540e-05,2.9291670205e-07,1.8427768998e-06,-6.2111458839e-01,2.6529419936e-03,9.6249614956e-01,8.9189400565e-04,9.4219417354e+01,5.4991979156e+01,5.8817775485e+01,3.7453569359e-01,5.5222845770e+01,5.5222845770e+01,0.0000000000e+00,-2.3771145070e-02,1.5000000000e+01,2.3771102500e-02,0.0000000000e+00,-2.6402484840e-07,0.0000000000e+00,0.0000000000e+00,-6.7297332860e-03,6.2273020480e-11,6.7297028250e-03,-6.2433997860e-11,3.0433824330e-08,1.5858714450e-13,2.7148943360e-11,2.3902343420e-15,3.8219742270e-04,-1.4784165160e-11,-3.8220040990e-04,1.4752105160e-11,2.9935722310e-09,2.9887097890e-14,-6.3853561140e-12,2.1729008250e-15,6.3298732650e-03,-4.7360525550e-11,-6.3298397900e-03,4.7548585290e-11,-3.3453919100e-08,-1.8862525260e-13,-2.0705755240e-11,5.6551342190e-16,1.7662599200e-05,-1.2832976700e-13,-1.7662625670e-05,1.3330740540e-13,2.6522532750e-11,1.5101016240e-16,-5.7832005010e-14,-5.1286485890e-15
1.0000000000e+06,9.9999644678e-01,-1.2418567371e-04,2.6753979597e-07,1.8472097072e-05,-6.1980823038e-01,8.6360959641e-04,9.6293400311e-01,2.4649338359e-04,7.4540336438e+01,5.5167826236e+01,5.8719269614e+01,3.7948114356e-02,4.5256960120e+01,4.5256960120e+01,0.0000000000e+00,-2.3771145070e-02,1.5000000000e+01,2.3771102500e-02,0.0000000000e+00,-2.6402484840e-07,0.0000000000e+00,0.0000000000e+00,-6.7104458150e-03,1.7295600840e-12,6.7104139850e-03,-1.8901883540e-12,3.1765638710e-08,1.5825966540e-13,6.3774978580e-11,2.3686047150e-15,3.7765512450e-04,-4.4885234490e-13,-3.7765784860e-04,4.1672016910e-13,2.7384186570e-09,2.9954423100e-14,-1.4280744310e-11,2.1777527070e-15,6.3151652650e-03,-1.2793855880e-12,-6.3151306860e-03,1.4671688380e-12,-3.4528833350e-08,-1.8836550340e-13,-4.9203697940e-11,5.8225291640e-16,1.7625425830e-05,-1.3221511010e-15,-1.7625450310e-05,6.2993465110e-15,2.4775975150e-11,1.5141492870e-16,-2.9053633120e-13,-5.1286103380e-15
1.0000000000e+07,9.9999442044e-01,-1.2404257114e-03,4.1469947127e-07,1.8509149004e-04,-6.1906043969e-01,1.6622732194e-03,9.6327459407e-01,-5.2667443037e-05,5.4542772193e+01,5.4353830277e+01,5.7423266751e+01,6.5813285583e-03,3.5243470758e+01,3.5243470758e+01,0.0000000000e+00,-2.3771145070e-02,1.5000000000e+01,2.3771102500e-02,0.0000000000e+00,-2.6402484840e-07,0.0000000000e+00,0.0000000000e+00,-6.6982052960e-03,5.1115957180e-14,6.6981621920e-03,-2.1145019380e-13,4.2911956630e-08,1.5797123690e-13,1.9164919700e-10,2.3629996380e-15,3.7411841500e-04,-3.2951953990e-14,-3.7412142710e-04,7.6371199860e-16,3.0595785820e-09,3.0009387000e-14,-4.7526151560e-11,2.1788550000e-15,6.3064780000e-03,-1.9948735950e-14,-6.3064319240e-03,2.0749407720e-13,-4.5950242030e-08,-1.8813209020e-13,-1.2542806780e-10,5.8674901220e-16,1.7608881170e-05,1.7847327630e-15,-1.7608841190e-05,3.1924045790e-15,-2.1293173360e-11,1.5146630760e-16,-1.8694977590e-11,-5.1286036500e-15
1.0000000000e+08,9.9984963871e-01,-1.2398185583e-02,2.0080890443e-05,1.8478068046e-03,-6.1830981921e-01,1.2546088001e-02,9.6359451154e-01,-2.6966737548e-03,3.4535182423e+01,4.1773975458e+01,4.5611436717e+01,2.0542573614e-02,2.5246133236e+01,2.5246133236e+01,0.0000000000e+00,-2.3771145070e-02,1.5000000000e+01,2.3771102500e-02,0.0000000000e+00,-2.6402484840e-07,0.0000000000e+00,0.0000000000e+00,-6.6876308960e-03,-6.1873727020e-14,6.6870526300e-03,-9.8463563280e-14,5.7037519840e-07,1.5797444320e-13,7.8912935860e-09,2.3628470760e-15,3.7056838720e-04,2.9566921510e-15,-3.7063275120e-04,-3.5092343640e-14,6.7481247980e-08,2.9957021450e-14,-3.1172313830e-09,2.1786300380e-15,6.2994359260e-03,5.7102475820e-14,-6.2988008730e-03,1.3039337660e-13,-6.3213956140e-07,-1.8808294250e-13,-2.9135275140e-09,5.8709007310e-16,1.7626583200e-05,1.8145590480e-15,-1.7619005780e-05,3.1625302800e-15,-5.7168849770e-09,1.5147785910e-16,-1.8605346900e-09,-5.1285671870e-15
1.0000000000e+09,9.8533272251e-01,-1.2228571980e-01,1.6760318181e-03,1.8256935510e-02,-6.0308355659e-01,1.2008981548e-01,9.6194995083e-01,-2.8351131063e-02,1.4542482488e+01,2.3415391893e+01,2.5580651093e+01,1.8079099384e-01,1.5255710734e+01,1.5255710734e+01,0.0000000000e+00,-2.3771073180e-02,1.5000000000e+01,2.3771305610e-02,0.0000000000e+00,-2.6402626620e-07,0.0000000000e+00,0.0000000000e+00,-6.7001784480e-03,-7.1077068150e-14,6.6395499090e-03,-8.8862013630e-14,5.9836690890e-05,1.5759019670e-13,7.9184870470e-07,2.3488850870e-15,3.6876597420e-04,5.6349080950e-15,-3.7190259310e-04,-3.7701046680e-14,3.4553137750e-06,2.9881489000e-14,-3.1869485040e-07,2.1846495860e-15,6.3134709050e-03,6.3646215780e-14,-6.2504468080e-03,1.2339516320e-13,-6.2734190710e-05,-1.8763278020e-13,-2.8990631900e-07,5.9140118790e-16,1.7941568730e-05,1.7959442750e-15,-1.7200507250e-05,3.1678970850e-15,-5.5781394800e-07,1.6109450130e-16,-1.8324753530e-07,-5.1249358610e-15
2.0000000000e+09,9.4373292272e-01,-2.3439918600e-01,6.4266240840e-03,3.5439484693e-02,-5.6071989790e-01,2.2952302760e-01,9.5688800773e-01,-5.5662454657e-02,8.5820838238e+00,1.7395240308e+01,1.9190553740e+01,3.5759644092e-01,1.2258715969e+01,1.2258715969e+01,0.0000000000e+00,-2.3771067560e-02,1.5000000000e+01,2.3771321460e-02,0.0000000000e+00,-2.6402637670e-07,0.0000000000e+00,0.0000000000e+00,-6.7557207050e-03,-7.0808937120e-14,6.5148962740e-03,-8.7330031900e-14,2.3777474220e-04,1.5583256500e-13,3.0496883820e-06,2.3064040160e-15,3.6697724210e-04,5.6842116410e-15,-3.7930047480e-04,-3.7710173720e-14,1.3546244330e-05,2.9823240710e-14,-1.2230116540e-06,2.2027213680e-15,6.3699069650e-03,6.3343096630e-14,-6.1196132710e-03,1.2189522870e-13,-2.4916807610e-04,-1.8584370750e-13,-1.1256177490e-06,6.0538220920e-16,1.8836498540e-05,1.7816288500e-15,-1.5982529080e-05,3.1449769640e-15,-2.1529104790e-06,1.8790177980e-16,-7.0105897850e-07,-5.1145075930e-15
