"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current","Global device temperature"
0.0000000000e+00,0.0000000000e+00,2.4928200550e-18,0.0000000000e+00,0.0000000000e+00,-1.0463681360e-17,0.0000000000e+00,0.0000000000e+00,-1.5764343410e-32,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e+02
0.0000000000e+00,0.0000000000e+00,-9.4214611720e-03,2.5000000000e-01,2.5000000000e-01,9.4214441500e-03,0.0000000000e+00,0.0000000000e+00,-4.5051400400e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0129819040e+02
0.0000000000e+00,0.0000000000e+00,-1.7544555400e-02,5.0000000000e-01,5.0000000000e-01,1.7544561920e-02,0.0000000000e+00,0.0000000000e+00,-7.2929287390e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0472675870e+02
0.0000000000e+00,0.0000000000e+00,-2.4333355520e-02,7.5000000000e-01,7.5000000000e-01,2.4333328680e-02,0.0000000000e+00,0.0000000000e+00,-1.4545931510e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0982024140e+02
0.0000000000e+00,0.0000000000e+00,-2.9745291450e-02,1.0000000000e+00,1.0000000000e+00,2.9744760020e-02,0.0000000000e+00,0.0000000000e+00,-3.3352249930e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1609080720e+02
0.0000000000e+00,0.0000000000e+00,-3.6980024490e-02,1.5000000000e+00,1.5000000000e+00,3.6981915770e-02,0.0000000000e+00,0.0000000000e+00,-2.0895471550e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3075248100e+02
0.0000000000e+00,0.0000000000e+00,-4.0754966710e-02,2.0000000000e+00,2.0000000000e+00,4.0762464250e-02,0.0000000000e+00,0.0000000000e+00,-1.3057376130e-14,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.4640741380e+02
0.0000000000e+00,0.0000000000e+00,-4.2384891090e-02,2.5000000000e+00,2.5000000000e+00,4.2378331660e-02,0.0000000000e+00,0.0000000000e+00,-7.1208709600e-14,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.6188509760e+02
0.0000000000e+00,0.0000000000e+00,-4.2737232310e-02,3.0000000000e+00,3.0000000000e+00,4.2727968200e-02,0.0000000000e+00,0.0000000000e+00,-3.2541371170e-13,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.7666603360e+02
0.0000000000e+00,0.0000000000e+00,-4.2614179980e-02,3.2500000000e+00,3.2500000000e+00,4.2604999850e-02,0.0000000000e+00,0.0000000000e+00,-6.5115923720e-13,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.8374695490e+02
0.0000000000e+00,0.0000000000e+00,-4.2350761080e-02,3.5000000000e+00,3.5000000000e+00,4.2340781850e-02,0.0000000000e+00,0.0000000000e+00,-1.2483574950e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9059301290e+02
0.0000000000e+00,0.0000000000e+00,-4.1978898010e-02,3.7500000000e+00,3.7500000000e+00,4.1967806080e-02,0.0000000000e+00,0.0000000000e+00,-2.2968424330e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9719576030e+02
0.0000000000e+00,0.0000000000e+00,-4.1754190240e-02,3.8750000000e+00,3.8750000000e+00,4.1764619820e-02,0.0000000000e+00,0.0000000000e+00,-3.0668740250e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0040546540e+02
0.0000000000e+00,0.0000000000e+00,-4.1639539820e-02,3.9375000000e+00,3.9375000000e+00,4.1631410970e-02,0.0000000000e+00,0.0000000000e+00,-3.5323535470e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0199100200e+02
0.0000000000e+00,0.0000000000e+00,-4.1517390040e-02,4.0000000000e+00,4.0000000000e+00,4.1507933930e-02,0.0000000000e+00,0.0000000000e+00,-4.0574272260e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0355705870e+02
0.0000000000e+00,0.0000000000e+00,-4.1388619610e-02,4.0625000000e+00,4.0625000000e+00,4.1396716580e-02,0.0000000000e+00,0.0000000000e+00,-4.6479845900e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0510338420e+02
0.0000000000e+00,0.0000000000e+00,-4.1258663260e-02,4.1250000000e+00,4.1250000000e+00,4.1267763610e-02,0.0000000000e+00,0.0000000000e+00,-5.3140110350e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0663773740e+02
0.0000000000e+00,0.0000000000e+00,-4.1125386300e-02,4.1875000000e+00,4.1875000000e+00,4.1135403030e-02,0.0000000000e+00,0.0000000000e+00,-6.0619568010e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0815689230e+02
0.0000000000e+00,0.0000000000e+00,-4.0991716250e-02,4.2500000000e+00,4.2500000000e+00,4.0983419900e-02,0.0000000000e+00,0.0000000000e+00,-6.9026701670e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.0966525890e+02
0.0000000000e+00,0.0000000000e+00,-4.0852898700e-02,4.3125000000e+00,4.3125000000e+00,4.0844032750e-02,0.0000000000e+00,0.0000000000e+00,-7.8405625220e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.1115490290e+02
0.0000000000e+00,0.0000000000e+00,-4.0711594460e-02,4.3750000000e+00,4.3750000000e+00,4.0702215430e-02,0.0000000000e+00,0.0000000000e+00,-8.8873324440e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.1262988730e+02
0.0000000000e+00,0.0000000000e+00,-4.0568037810e-02,4.4375000000e+00,4.4375000000e+00,4.0558232790e-02,0.0000000000e+00,0.0000000000e+00,-1.0053336070e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.1409041140e+02
0.0000000000e+00,0.0000000000e+00,-4.0422422210e-02,4.5000000000e+00,4.5000000000e+00,4.0412176070e-02,0.0000000000e+00,0.0000000000e+00,-1.1349685580e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.1553668110e+02
0.0000000000e+00,0.0000000000e+00,-4.0348585510e-02,4.5312500000e+00,4.5312500000e+00,4.0340024780e-02,0.0000000000e+00,0.0000000000e+00,-1.2049920850e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.1625403950e+02
0.0000000000e+00,0.0000000000e+00,-4.0274591310e-02,4.5625000000e+00,4.5625000000e+00,4.0265867160e-02,0.0000000000e+00,0.0000000000e+00,-1.2787589080e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.1696826230e+02
0.0000000000e+00,0.0000000000e+00,-4.0200170780e-02,4.5937500000e+00,4.5937500000e+00,4.0191300920e-02,0.0000000000e+00,0.0000000000e+00,-1.3563890820e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.1767895740e+02
0.0000000000e+00,0.0000000000e+00,-4.0125348290e-02,4.6250000000e+00,4.6250000000e+00,4.0116345190e-02,0.0000000000e+00,0.0000000000e+00,-1.4380481750e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.1838614980e+02
0.0000000000e+00,0.0000000000e+00,-4.0050146760e-02,4.6562500000e+00,4.6562500000e+00,4.0041023470e-02,0.0000000000e+00,0.0000000000e+00,-1.5239070730e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.1908986400e+02
0.0000000000e+00,0.0000000000e+00,-3.9974588680e-02,4.6875000000e+00,4.6875000000e+00,3.9965358610e-02,0.0000000000e+00,0.0000000000e+00,-1.6141422490e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.1979012560e+02
0.0000000000e+00,0.0000000000e+00,-3.9898696020e-02,4.7187500000e+00,4.7187500000e+00,3.9889372890e-02,0.0000000000e+00,0.0000000000e+00,-1.7089359040e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.2048696080e+02
