"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current","Global device temperature"
0.0000000000e+00,0.0000000000e+00,-4.8056786160e-05,5.0000000000e+00,5.0000000000e+00,4.8055962340e-05,-9.7500000000e+00,-9.7500000000e+00,-1.8410000030e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0012465560e+02
0.0000000000e+00,0.0000000000e+00,-5.6836310110e-05,5.0000000000e+00,5.0000000000e+00,5.6836303250e-05,-9.5000000000e+00,-9.5000000000e+00,-1.8477727280e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0014738830e+02
0.0000000000e+00,0.0000000000e+00,-6.6476077450e-05,5.0000000000e+00,5.0000000000e+00,6.6476065510e-05,-9.2500000000e+00,-9.2500000000e+00,-1.8551997020e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0017234200e+02
0.0000000000e+00,0.0000000000e+00,-7.7101143590e-05,5.0000000000e+00,5.0000000000e+00,7.7097627160e-05,-9.0000000000e+00,-9.0000000000e+00,-1.8633798950e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0019984540e+02
0.0000000000e+00,0.0000000000e+00,-8.8871322830e-05,5.0000000000e+00,5.0000000000e+00,8.8866815890e-05,-8.7500000000e+00,-8.7500000000e+00,-1.8724431070e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0023031220e+02
0.0000000000e+00,0.0000000000e+00,-1.0197754090e-04,5.0000000000e+00,5.0000000000e+00,1.0197165870e-04,-8.5000000000e+00,-8.5000000000e+00,-1.8825445400e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0026423610e+02
0.0000000000e+00,0.0000000000e+00,-1.1665869090e-04,5.0000000000e+00,5.0000000000e+00,1.1665103660e-04,-8.2500000000e+00,-8.2500000000e+00,-1.8938803930e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0030223810e+02
0.0000000000e+00,0.0000000000e+00,-1.3325183630e-04,5.0000000000e+00,5.0000000000e+00,1.3324227400e-04,-8.0000000000e+00,-8.0000000000e+00,-1.9067297620e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0034520140e+02
0.0000000000e+00,0.0000000000e+00,-1.5221505320e-04,5.0000000000e+00,5.0000000000e+00,1.5220214140e-04,-7.7500000000e+00,-7.7500000000e+00,-1.9214742900e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0039433030e+02
0.0000000000e+00,0.0000000000e+00,-1.7412930370e-04,5.0000000000e+00,5.0000000000e+00,1.7411061400e-04,-7.5000000000e+00,-7.5000000000e+00,-1.9387307180e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0045113080e+02
