"Frequency","Real(S11)","Imag(S11)","Real(S12)","Imag(S12)","Real(S21)","Imag(S21)","Real(S22)","Imag(S22)","Current gain","Unilateral power gain","Max transducer power gain","Stern stability factor","Gms","Gma","Source Voltage","Source Current","Drain Voltage","Drain Current","Gate Voltage","Gate Current","Substrate Voltage","Substrate Current","G Source>Source","C Source>Source","G Drain>Source","C Drain>Source","G Gate>Source","C Gate>Source","G Substrate>Source","C Substrate>Source","G Source>Drain","C Source>Drain","G Drain>Drain","C Drain>Drain","G Gate>Drain","C Gate>Drain","G Substrate>Drain","C Substrate>Drain","G Source>Gate","C Source>Gate","G Drain>Gate","C Drain>Gate","G Gate>Gate","C Gate>Gate","G Substrate>Gate","C Substrate>Gate","G Source>Substrate","C Source>Substrate","G Drain>Substrate","C Drain>Substrate","G Gate>Substrate","C Gate>Substrate","G Substrate>Substrate","C Substrate>Substrate"
1.0000000000e+01,9.9999999996e-01,-1.2980973901e-07,1.7978639213e-13,1.0944787102e-09,-3.8471192471e-01,-6.7172530857e-06,-9.5935928563e-01,1.4151993881e-06,1.6400041971e+02,1.0417994649e+02,1.0420735709e+02,6.5310723922e-03,8.5459283242e+01,8.5459283242e+01,0.0000000000e+00,-4.0757191630e-02,2.0000000000e+00,4.0756390790e-02,0.0000000000e+00,-1.3058949440e-14,0.0000000000e+00,0.0000000000e+00,-2.3087036180e-02,1.1957956390e-08,2.3087036180e-02,-1.1958167850e-08,4.5348015180e-15,2.0878591250e-13,1.9915021200e-17,2.6758729390e-15,1.9284693330e-02,-1.0911302750e-08,-1.9284693330e-02,1.0911128890e-08,2.1439897670e-15,1.7144550570e-13,-1.8171650360e-17,2.4199857180e-15,3.7864681310e-03,-1.0422995090e-09,-3.7864681310e-03,1.0426797360e-09,-6.6783019170e-15,-3.8021866720e-13,-1.7361029050e-18,-8.9570865750e-18,1.5874720390e-05,-4.3541279300e-12,-1.5874720390e-05,4.3592275820e-12,-4.8936732500e-19,-1.2750963980e-17,-7.2679283000e-21,-5.0869015700e-15
1.0000000000e+02,1.0000000000e+00,-1.2980979976e-06,-1.0712498949e-11,1.0944914595e-08,-3.8471270560e-01,-6.7163339138e-05,-9.5935912176e-01,1.4150064958e-05,1.4400040519e+02,1.2803118050e+02,1.0000000000e+00,8.0694957484e-04,7.5459239512e+01,7.5459239512e+01,0.0000000000e+00,-4.0757191630e-02,2.0000000000e+00,4.0756390790e-02,0.0000000000e+00,-1.3058949440e-14,0.0000000000e+00,0.0000000000e+00,-2.3086946610e-02,1.1956228950e-08,2.3086946610e-02,-1.1956440410e-08,8.1401858720e-14,2.0878443890e-13,1.9912143640e-15,2.6758351430e-15,1.9284611590e-02,-1.0909726520e-08,-1.9284611590e-02,1.0909552650e-08,-6.7993696900e-14,1.7144685020e-13,-1.8169024690e-15,2.4200202050e-15,3.7864603230e-03,-1.0421489290e-09,-3.7864603230e-03,1.0425291570e-09,-1.3379667840e-14,-3.8021853870e-13,-1.7358520710e-16,-8.9537919200e-18,1.5874687750e-05,-4.3534983580e-12,-1.5874687750e-05,4.3585980100e-12,-2.8493982940e-17,-1.2750426940e-17,-7.2668795650e-19,-5.0869015560e-15
1.0000000000e+03,1.0000000051e+00,-1.2981579197e-05,-1.0851406942e-09,1.0957489591e-07,-3.8478972641e-01,-6.6256740708e-04,-9.5934295850e-01,1.3959811303e-04,1.2399894114e+02,1.0000000000e+00,1.0000000000e+00,1.5960325581e-03,6.5454917500e+01,6.5454917500e+01,0.0000000000e+00,-4.0757191630e-02,2.0000000000e+00,4.0756390790e-02,0.0000000000e+00,-1.3058949440e-14,0.0000000000e+00,0.0000000000e+00,-2.3078118690e-02,1.1785986250e-08,2.3078118680e-02,-1.1786197560e-08,7.6575551950e-12,2.0863921550e-13,1.9628554870e-13,2.6721102500e-15,1.9276556420e-02,-1.0754385760e-08,-1.9276556410e-02,1.0754211760e-08,-6.9808870170e-12,1.7157936170e-13,-1.7910259430e-13,2.4234190440e-15,3.7856907980e-03,-1.0273090340e-09,-3.7856907970e-03,1.0276892480e-09,-6.7387951330e-13,-3.8020587970e-13,-1.7111319060e-14,-8.6290948850e-18,1.5871470440e-05,-4.2914529640e-12,-1.5871470440e-05,4.2965525620e-12,-2.7886644400e-15,-1.2697500700e-17,-7.1635248920e-17,-5.0869001990e-15
1.0000000000e+04,1.0000002135e+00,-1.3006707402e-04,-4.6529373780e-08,1.1484824553e-06,-3.8801962115e-01,-2.8274116575e-03,-9.5866514074e-01,5.9889849016e-04,1.0393901370e+02,1.0000000000e+00,1.0000000000e+00,6.2257090865e-03,5.5283847256e+01,5.5283847256e+01,0.0000000000e+00,-4.0757191630e-02,2.0000000000e+00,4.0756390790e-02,0.0000000000e+00,-1.3058949440e-14,0.0000000000e+00,0.0000000000e+00,-2.2720305520e-02,4.8920936430e-09,2.2720305190e-02,-4.8922989170e-09,3.1766259810e-10,2.0275313330e-13,8.1447865290e-12,2.5211355820e-15,1.8950064320e-02,-4.4639402050e-09,-1.8950064020e-02,4.4637606940e-09,-2.8984085520e-10,1.7695020760e-13,-7.4317063310e-12,2.5611782030e-15,3.7545001240e-03,-4.2637447730e-10,-3.7545000960e-03,4.2675416560e-10,-2.7706069630e-11,-3.7969278860e-13,-7.1010195540e-13,4.5313918510e-18,1.5741069670e-05,-1.7789601020e-12,-1.5741069550e-05,1.7840575000e-12,-1.1567324430e-13,-1.0552387340e-17,-2.9782418850e-15,-5.0868451780e-15
1.0000000000e+05,9.9999969438e-01,-1.3026729052e-03,-1.0817596315e-07,1.1905478852e-05,-3.9059630449e-01,-4.3642394416e-04,-9.5812386864e-01,1.4667400529e-04,8.3892995288e+01,1.0000000000e+00,1.0000000000e+00,1.6009513391e-03,4.5159636063e+01,4.5159636063e+01,0.0000000000e+00,-4.0757191630e-02,2.0000000000e+00,4.0756390790e-02,0.0000000000e+00,-1.3058949440e-14,0.0000000000e+00,0.0000000000e+00,-2.2450318060e-02,1.1865164120e-10,2.2450317270e-02,-1.1885236820e-10,7.7095420310e-10,1.9831950020e-13,1.9445721350e-11,2.4074730100e-15,1.8703731850e-02,-1.0836581680e-10,-1.8703731130e-02,1.0818215650e-10,-7.0272946440e-10,1.8099540940e-13,-1.7734714260e-11,2.6648836400e-15,3.7309432120e-03,-1.0246229290e-11,-3.7309431420e-03,1.0625520810e-11,-6.7951500970e-11,-3.7930596760e-13,-1.7028868080e-12,1.4447203210e-17,1.5642998850e-05,-3.9595075020e-14,-1.5642998570e-05,4.4690820790e-14,-2.7323775950e-13,-8.9419122440e-18,-8.1202802050e-15,-5.0868038530e-15
1.0000000000e+06,9.9991577049e-01,-1.3028682393e-02,5.0770489634e-07,1.1959018145e-04,-3.9088939539e-01,2.5514220203e-03,-9.5805604096e-01,6.8049135026e-06,6.3887006397e+01,1.0000000000e+00,1.0000000000e+00,1.0548586347e-03,3.5143637012e+01,3.5143637012e+01,0.0000000000e+00,-4.0757191630e-02,2.0000000000e+00,4.0756390790e-02,0.0000000000e+00,-1.3058949440e-14,0.0000000000e+00,0.0000000000e+00,-2.2416525480e-02,2.4219115630e-12,2.2416523450e-02,-2.6220530560e-12,1.9813131690e-09,1.9774679660e-13,4.1177706700e-11,2.3946970610e-15,1.8673015080e-02,-2.3683122270e-12,-1.8673013280e-02,2.1841186000e-12,-1.7674045980e-09,1.8151710290e-13,-3.7341038640e-11,2.6765238570e-15,3.7278768020e-03,-5.5132323600e-14,-3.7278765850e-03,4.3437186470e-13,-2.1316498350e-10,-3.7925512000e-13,-3.7057731320e-12,1.5578950080e-17,1.5633594570e-05,1.5329879600e-15,-1.5633593700e-05,3.5625914220e-15,-7.4358675800e-13,-8.7795141630e-18,-1.3089492960e-13,-5.0867998680e-15
1.0000000000e+07,9.9148353442e-01,-1.2974350451e-01,7.7537475837e-05,1.1927493419e-03,-3.8919285991e-01,2.6795169122e-02,-9.5805760881e-01,-2.4278839814e-04,4.3885462762e+01,4.6145047071e+01,4.1640192491e+01,7.7880346056e-03,2.5137268153e+01,2.5137268153e+01,0.0000000000e+00,-4.0757191630e-02,2.0000000000e+00,4.0756390790e-02,0.0000000000e+00,-1.3058949440e-14,0.0000000000e+00,0.0000000000e+00,-2.2409178910e-02,-6.2349814460e-14,2.2409169120e-02,-1.3754516290e-13,9.6397946860e-09,1.9750417860e-13,1.5037249130e-10,2.3907987390e-15,1.8666504390e-02,-1.1433685680e-13,-1.8666500030e-02,-7.0087016740e-14,-4.2501267010e-09,1.8174378390e-13,-1.1259033000e-10,2.6800896630e-15,3.7270422970e-03,1.7449494130e-13,-3.7270369030e-03,2.0472838360e-13,-5.3681875160e-09,-3.7923923520e-13,-2.5913306390e-11,1.5910264690e-17,1.5632223230e-05,2.1917299980e-15,-1.5632189880e-05,2.9037960270e-15,-2.1480468300e-11,-8.7273576340e-18,-1.1868854840e-11,-5.0867986670e-15
1.0000000000e+08,4.0204810809e-01,-9.1031280430e-01,5.5024393172e-03,8.3697939075e-03,-2.6738602511e-01,1.8812224211e-01,-9.5917571356e-01,-1.7519463394e-03,2.3889238094e+01,2.5247402901e+01,2.1397120968e+01,8.0236497165e-02,1.5137428874e+01,1.5137428874e+01,0.0000000000e+00,-4.0757191630e-02,2.0000000000e+00,4.0756390790e-02,0.0000000000e+00,-1.3058949440e-14,0.0000000000e+00,0.0000000000e+00,-2.2407761870e-02,-1.1100044250e-13,2.2407471130e-02,-8.8822610530e-14,2.8595108780e-07,1.9743312530e-13,4.7850526230e-09,2.3899277320e-15,1.8664998090e-02,-7.1522125010e-14,-1.8665222780e-02,-1.1297607410e-13,2.2659610740e-07,1.8181732810e-13,-1.9046790870e-09,2.6808710460e-15,3.7271294560e-03,1.8031768320e-13,-3.7266172860e-03,1.9890806140e-13,-5.1047435300e-07,-3.7924172360e-13,-1.6959471400e-09,1.5979000760e-17,1.5634329320e-05,2.2048842780e-15,-1.5631072050e-05,2.8906232650e-15,-2.0728421910e-09,-8.7297643210e-18,-1.1844263960e-09,-5.0867777780e-15
1.0000000000e+09,-9.3878971090e-01,-2.9520681386e-01,1.7846559552e-02,2.6146476207e-03,9.7404901765e-03,6.0889499431e-02,-9.6172756097e-01,-7.8034551334e-04,4.2921472350e+00,5.2114792584e+00,2.0585732822e+00,7.6815104009e-01,5.3386326597e+00,5.3386326597e+00,0.0000000000e+00,-4.0757011880e-02,2.0000000000e+00,4.0756880750e-02,0.0000000000e+00,-1.3058822380e-14,0.0000000000e+00,0.0000000000e+00,-2.2420401850e-02,-1.1245575750e-13,2.2392983180e-02,-8.7252547080e-14,2.6967441850e-05,1.9732548000e-13,4.5123415110e-07,2.3828245540e-15,1.8653399890e-02,-7.0093452150e-14,-1.8677606080e-02,-1.1433270130e-13,2.4372416650e-05,1.8174055840e-13,-1.6623102370e-07,2.6855950740e-15,3.7510987920e-03,1.8034629900e-13,-3.6997977490e-03,1.9869621870e-13,-5.1133092330e-05,-3.7905881010e-13,-1.6795052820e-07,1.6292343570e-17,1.5903169370e-05,2.2029106260e-15,-1.5579350600e-05,2.8890296660e-15,-2.0676617080e-07,-7.2283205070e-18,-1.1705259920e-07,-5.0847119710e-15
2.0000000000e+09,-9.7229350823e-01,-1.5024751287e-01,1.8152948042e-02,1.1764097619e-03,1.6662006701e-02,3.0803508798e-02,-9.6179691239e-01,-7.2367110490e-04,-6.9540133447e-01,-8.1093973337e-01,-2.9220224935e+00,1.3640969528e+00,2.8447277331e+00,-7.5716968551e-01,0.0000000000e+00,-4.0756962430e-02,2.0000000000e+00,4.0757015490e-02,0.0000000000e+00,-1.3058787420e-14,0.0000000000e+00,0.0000000000e+00,-2.2460805440e-02,-1.1232681660e-13,2.2351459930e-02,-8.7059687150e-14,1.0759579880e-04,1.9702394840e-13,1.7497132490e-06,2.3625553470e-15,1.8620386090e-02,-6.9957529340e-14,-1.8717205030e-02,-1.1422084150e-13,9.7441809080e-05,1.8147952550e-13,-6.2286907990e-07,2.6988452480e-15,3.8237084730e-03,1.8008874030e-13,-3.6188127250e-03,1.9839458200e-13,-2.0422081010e-04,-3.7850062500e-13,-6.7493817720e-07,1.7302715630e-17,1.6710875600e-05,2.1956056590e-15,-1.5442171830e-05,2.8859466060e-15,-8.1679778000e-07,-2.8489533400e-18,-4.5190599210e-07,-5.0787033120e-15
