"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current","Global device temperature"
0.0000000000e+00,0.0000000000e+00,-2.1892712080e-12,0.0000000000e+00,0.0000000000e+00,-7.3793755970e-12,-1.0000000000e+00,-1.0000000000e+00,-2.4313737460e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e+02
0.0000000000e+00,0.0000000000e+00,-4.4657828770e-03,1.2500000000e-01,1.2500000000e-01,4.4657901170e-03,-1.0000000000e+00,-1.0000000000e+00,-2.9936895030e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0155212330e+02
0.0000000000e+00,0.0000000000e+00,-8.4141469840e-03,2.5000000000e-01,2.5000000000e-01,8.4140843110e-03,-1.0000000000e+00,-1.0000000000e+00,-5.5468360230e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0580000370e+02
0.0000000000e+00,0.0000000000e+00,-1.4233900110e-02,5.0000000000e-01,5.0000000000e-01,1.4234320170e-02,-1.0000000000e+00,-1.0000000000e+00,-3.9138543780e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1967569420e+02
0.0000000000e+00,0.0000000000e+00,-1.9615632380e-02,1.0000000000e+00,1.0000000000e+00,1.9618213900e-02,-1.0000000000e+00,-1.0000000000e+00,-3.2297879190e-14,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.5533460410e+02
0.0000000000e+00,0.0000000000e+00,-2.0989531120e-02,1.5000000000e+00,1.5000000000e+00,2.0986841550e-02,-1.0000000000e+00,-1.0000000000e+00,-1.2475623810e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9071957540e+02
0.0000000000e+00,0.0000000000e+00,-2.0947005960e-02,2.0000000000e+00,2.0000000000e+00,2.0948426450e-02,-1.0000000000e+00,-1.0000000000e+00,-2.1593655240e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.2303267440e+02
0.0000000000e+00,0.0000000000e+00,-2.0375607430e-02,2.5000000000e+00,2.5000000000e+00,2.0375368100e-02,-1.0000000000e+00,-1.0000000000e+00,-2.0475112740e-10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.5211661660e+02
0.0000000000e+00,0.0000000000e+00,-1.9607927520e-02,3.0000000000e+00,3.0000000000e+00,1.9610208080e-02,-1.0000000000e+00,-1.0000000000e+00,-1.2530354530e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.7829753520e+02
0.0000000000e+00,0.0000000000e+00,-1.9197653790e-02,3.2500000000e+00,3.2500000000e+00,1.9191412110e-02,-1.0000000000e+00,-1.0000000000e+00,-2.7235952500e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.9037775560e+02
0.0000000000e+00,0.0000000000e+00,-1.8780594630e-02,3.5000000000e+00,3.5000000000e+00,1.8771180080e-02,-1.0000000000e+00,-1.0000000000e+00,-5.5133969510e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0184007770e+02
0.0000000000e+00,0.0000000000e+00,-1.7947498330e-02,4.0000000000e+00,4.0000000000e+00,1.7935753930e-02,-1.0000000000e+00,-1.0000000000e+00,-1.8857752980e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.2303313500e+02
0.0000000000e+00,0.0000000000e+00,-1.7153748220e-02,4.5000000000e+00,4.5000000000e+00,1.7130702010e-02,-1.0000000000e+00,-1.0000000000e+00,-5.3438840900e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.4229142450e+02
0.0000000000e+00,0.0000000000e+00,-1.6418309390e-02,5.0000000000e+00,5.0000000000e+00,1.6392986670e-02,-1.0000000000e+00,-1.0000000000e+00,-1.3231479150e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.6012362870e+02
0.0000000000e+00,0.0000000000e+00,-1.5752112690e-02,5.5000000000e+00,5.5000000000e+00,1.5715732070e-02,-1.0000000000e+00,-1.0000000000e+00,-2.9587212060e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.7685364290e+02
0.0000000000e+00,0.0000000000e+00,-1.5151048100e-02,6.0000000000e+00,6.0000000000e+00,1.5103583540e-02,-1.0000000000e+00,-1.0000000000e+00,-6.1224076670e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.9275408730e+02
0.0000000000e+00,0.0000000000e+00,-1.4873801320e-02,6.2500000000e+00,6.2500000000e+00,1.4819360360e-02,-1.0000000000e+00,-1.0000000000e+00,-8.5972492910e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.0044576900e+02
0.0000000000e+00,0.0000000000e+00,-1.4605487200e-02,6.5000000000e+00,6.5000000000e+00,1.4557540280e-02,-1.0000000000e+00,-1.0000000000e+00,-1.1941443590e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.0805929440e+02
0.0000000000e+00,0.0000000000e+00,-1.4353382860e-02,6.7500000000e+00,6.7500000000e+00,1.4303805790e-02,-1.0000000000e+00,-1.0000000000e+00,-1.6357983320e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.1551288510e+02
0.0000000000e+00,0.0000000000e+00,-1.4113592530e-02,7.0000000000e+00,7.0000000000e+00,1.4062606000e-02,-1.0000000000e+00,-1.0000000000e+00,-2.2160258110e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.2287027710e+02
0.0000000000e+00,0.0000000000e+00,-1.3996193410e-02,7.1250000000e+00,7.1250000000e+00,1.3948889150e-02,-1.0000000000e+00,-1.0000000000e+00,-2.5724296330e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.2654701540e+02
0.0000000000e+00,0.0000000000e+00,-1.3884052060e-02,7.2500000000e+00,7.2500000000e+00,1.3834795980e-02,-1.0000000000e+00,-1.0000000000e+00,-2.9743385980e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.3016324480e+02
0.0000000000e+00,0.0000000000e+00,-1.3772188970e-02,7.3750000000e+00,7.3750000000e+00,1.3726406020e-02,-1.0000000000e+00,-1.0000000000e+00,-3.4366085980e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.3379785080e+02
0.0000000000e+00,0.0000000000e+00,-1.3662867220e-02,7.5000000000e+00,7.5000000000e+00,1.3620609060e-02,-1.0000000000e+00,-1.0000000000e+00,-3.9623920600e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.3741564260e+02
0.0000000000e+00,0.0000000000e+00,-1.3556164220e-02,7.6250000000e+00,7.6250000000e+00,1.3517149840e-02,-1.0000000000e+00,-1.0000000000e+00,-4.5589807320e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.4101524670e+02
0.0000000000e+00,0.0000000000e+00,-1.3450150090e-02,7.7500000000e+00,7.7500000000e+00,1.3417889990e-02,-1.0000000000e+00,-1.0000000000e+00,-5.2417439370e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.4463197800e+02
0.0000000000e+00,0.0000000000e+00,-1.3399113860e-02,7.8125000000e+00,7.8125000000e+00,1.3367980630e-02,-1.0000000000e+00,-1.0000000000e+00,-5.6123416930e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.4641564920e+02
0.0000000000e+00,0.0000000000e+00,-1.3349235580e-02,7.8750000000e+00,7.8750000000e+00,1.3318085400e-02,-1.0000000000e+00,-1.0000000000e+00,-6.0038730890e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.4818501410e+02
0.0000000000e+00,0.0000000000e+00,-1.3298375330e-02,7.9375000000e+00,7.9375000000e+00,1.3270293040e-02,-1.0000000000e+00,-1.0000000000e+00,-6.4271915380e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.4998087220e+02
0.0000000000e+00,0.0000000000e+00,-1.3249459890e-02,8.0000000000e+00,8.0000000000e+00,1.3221720570e-02,-1.0000000000e+00,-1.0000000000e+00,-6.8703706330e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.5174717550e+02
0.0000000000e+00,0.0000000000e+00,-1.3199800650e-02,8.0625000000e+00,8.0625000000e+00,1.3174917800e-02,-1.0000000000e+00,-1.0000000000e+00,-7.3481235710e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.5353612260e+02
0.0000000000e+00,0.0000000000e+00,-1.3150596150e-02,8.1250000000e+00,8.1250000000e+00,1.3128704590e-02,-1.0000000000e+00,-1.0000000000e+00,-7.8564598220e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.5532460590e+02
0.0000000000e+00,0.0000000000e+00,-1.3103270300e-02,8.1875000000e+00,8.1875000000e+00,1.3081813580e-02,-1.0000000000e+00,-1.0000000000e+00,-8.3879698930e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.5708347110e+02
