"Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Gate Voltage","Gate Int. Voltage","Gate Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,-1.4616459060e-04,6.0000000000e+00,6.0000000000e+00,1.4616459060e-04,-9.5000000000e+00,-9.5000000000e+00,-7.2882534880e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.8463160500e-04,6.0000000000e+00,6.0000000000e+00,1.8463160500e-04,-9.0000000000e+00,-9.0000000000e+00,-7.2579182200e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-2.3292153700e-04,6.0000000000e+00,6.0000000000e+00,2.3292153700e-04,-8.5000000000e+00,-8.5000000000e+00,-7.2274027310e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-2.9572800920e-04,6.0000000000e+00,6.0000000000e+00,2.9572800920e-04,-8.0000000000e+00,-8.0000000000e+00,-7.1966321960e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-3.7962120470e-04,6.0000000000e+00,6.0000000000e+00,3.7962120470e-04,-7.5000000000e+00,-7.5000000000e+00,-7.1655321120e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-4.9710792410e-04,6.0000000000e+00,6.0000000000e+00,4.9710792410e-04,-7.0000000000e+00,-7.0000000000e+00,-7.1339612850e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-6.8255854180e-04,6.0000000000e+00,6.0000000000e+00,6.8255853670e-04,-6.5000000000e+00,-6.5000000000e+00,-7.1014301870e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-9.8931115080e-04,6.0000000000e+00,6.0000000000e+00,9.8931114720e-04,-6.0000000000e+00,-6.0000000000e+00,-7.0676191010e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.5818976330e-03,6.0000000000e+00,6.0000000000e+00,1.5818976330e-03,-5.5000000000e+00,-5.5000000000e+00,-7.0312539000e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-4.7875655160e-03,6.0000000000e+00,6.0000000000e+00,4.7875655150e-03,-5.0000000000e+00,-5.0000000000e+00,-6.9358579310e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.3199056350e-02,6.0000000000e+00,6.0000000000e+00,1.3199056350e-02,-4.5000000000e+00,-4.5000000000e+00,-6.6998177970e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-2.5698248540e-02,6.0000000000e+00,6.0000000000e+00,2.5698248540e-02,-4.0000000000e+00,-4.0000000000e+00,-6.4291324390e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-4.1193980950e-02,6.0000000000e+00,6.0000000000e+00,4.1193980950e-02,-3.5000000000e+00,-3.5000000000e+00,-6.1592294900e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-5.9232068080e-02,6.0000000000e+00,6.0000000000e+00,5.9232068080e-02,-3.0000000000e+00,-3.0000000000e+00,-5.9004406140e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-7.9235837860e-02,6.0000000000e+00,6.0000000000e+00,7.9235837860e-02,-2.5000000000e+00,-2.5000000000e+00,-5.6459075660e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.0049208130e-01,6.0000000000e+00,6.0000000000e+00,1.0049208130e-01,-2.0000000000e+00,-2.0000000000e+00,-5.3848699890e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.2215995260e-01,6.0000000000e+00,6.0000000000e+00,1.2215995260e-01,-1.5000000000e+00,-1.5000000000e+00,-5.1037859670e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.4323159500e-01,6.0000000000e+00,6.0000000000e+00,1.4323159500e-01,-1.0000000000e+00,-1.0000000000e+00,-4.7866732490e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.6266988290e-01,6.0000000000e+00,6.0000000000e+00,1.6266988290e-01,-5.0000000000e-01,-5.0000000000e-01,-4.4205712030e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.7980276360e-01,6.0000000000e+00,6.0000000000e+00,1.7980276360e-01,1.2858289410e-15,1.2858289410e-15,-4.0035934840e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-1.9451859730e-01,6.0000000000e+00,6.0000000000e+00,1.9451859730e-01,5.0000000000e-01,5.0000000000e-01,-3.5443224250e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,0.0000000000e+00,-2.0706513290e-01,6.0000000000e+00,6.0000000000e+00,2.0706513290e-01,1.0000000000e+00,1.0000000000e+00,-3.0541783150e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
