dydx 1 vs gate bias
37 2 2
gate bias
dydx 1
-8 8.21542e-006
-7.5 9.694e-006
-7 1.20101e-005
-6.8 1.52976e-005
-6.6 1.81296e-005
-6.4 2.19356e-005
-6.2 2.68285e-005
-6 3.29011e-005
-5.8 4.08227e-005
-5.6 5.1812e-005
-5.4 6.95163e-005
-5.2 0.000111215
-5 0.000258711
-4.8 0.000519155
-4.6 0.000772736
-4.4 0.000952824
-4.2 0.00105043
-4 0.00108357
-3.8 0.0010819
-3.6 0.00106379
-3.4 0.00103587
-3.2 0.000998697
-3 0.000956147
-2.8 0.000912132
-2.6 0.000866836
-2.4 0.000821044
-2.2 0.000772154
-2 0.000724791
-1.8 0.000694883
-1.7 0.00067252
-1.65 0.000672303
-1.6 0.000650345
-1.55 0.000641924
-1.5 0.000632287
-1.45 0.000626257
-1.425 0.000620761
-1.4 0.000565479
