dydx 1 vs gate bias
69 2 2
gate bias
dydx 1
-8 8.17506e-006
-7.5 9.64695e-006
-7 1.19461e-005
-6.8 1.52103e-005
-6.6 1.80202e-005
-6.4 2.17935e-005
-6.2 2.66677e-005
-6 3.27112e-005
-5.8 4.06039e-005
-5.6 5.15348e-005
-5.4 6.90804e-005
-5.2 0.000110124
-5 0.000256332
-4.8 0.000520016
-4.6 0.000779954
-4.4 0.000963741
-4.2 0.00106224
-4 0.00109513
-3.8 0.00109478
-3.6 0.00107645
-3.4 0.0010433
-3.2 0.000997896
-3 0.000950721
-2.8 0.000905434
-2.6 0.000860247
-2.4 0.00081345
-2.2 0.000783406
-2.1 0.000764276
-2.05 0.000732165
-2 0.00073173
-1.95 0.000722832
-1.9 0.000701333
-1.85 0.000703946
-1.825 0.000721233
-1.8 0.000717064
-1.775 0.000667692
-1.75 0.000660324
-1.725 0.000676531
-1.7 0.000676699
-1.6875 0.000675361
-1.675 0.00066756
-1.6625 0.000665217
-1.65 0.000662846
-1.6375 0.000660481
-1.625 0.000708374
-1.6125 0.000708412
-1.6 0.000658
-1.5875 0.000655504
-1.575 0.000653267
-1.5625 0.000651034
-1.55 0.000596475
-1.5375 0.000592468
-1.525 0.000640476
-1.5125 0.000637907
-1.5 0.000635625
-1.4875 0.000633324
-1.475 0.000704036
-1.46875 0.000741829
-1.4625 0.000633988
-1.45625 0.000631541
-1.45 0.000630441
-1.44375 0.000629342
-1.4375 0.000522123
-1.43125 0.000625634
-1.425 0.000622621
-1.41875 0.000516517
-1.4125 0.000621729
-1.40625 0.000619328
-1.4 0.000618804
